DATE,TotalVehicleSales,LightWeightVehicleSales:AutosandLightTrucks,LightWeightVehicleSales,MotorVehicleRetailSales:LightWeightTrucks,MotorVehicleRetailSales:HeavyWeightTrucks,MotorVehicleRetailSales:DomesticAutos,MotorVehicleRetailSales:DomesticLightWeightTrucks,MotorVehicleRetailSales:ForeignAutos,MotorVehicleRetailSales:ForeignLightWeightTrucks
1/1/1967,0,0,0,0,0.359,7.837,1.235,0.629,0
2/1/1967,0,0,0,0,0.304,6.85,1.138,0.69,0
3/1/1967,0,0,0,0,0.359,7.22,1.237,0.74,0
4/1/1967,0,0,0,0,0.343,8.164,1.204,0.746,0
5/1/1967,0,0,0,0,0.344,7.961,1.184,0.782,0
6/1/1967,0,0,0,0,0.335,8.186,1.24,0.786,0
7/1/1967,0,0,0,0,0.33,7.939,1.237,0.812,0
8/1/1967,0,0,0,0,0.325,7.295,1.206,0.816,0
9/1/1967,0,0,0,0,0.317,7.764,1.417,0.802,0
10/1/1967,0,0,0,0,0.317,7.052,1.053,0.805,0
11/1/1967,0,0,0,0,0.312,6.766,0.988,0.851,0
12/1/1967,0,0,0,0,0.308,7.78,1.273,0.89,0
1/1/1968,0,0,0,0,0.321,8.526,1.332,0.956,0
2/1/1968,0,0,0,0,0.321,8.035,1.304,0.995,0
3/1/1968,0,0,0,0,0.37,8.743,1.566,1.004,0
4/1/1968,0,0,0,0,0.329,8.153,1.38,0.966,0
5/1/1968,0,0,0,0,0.353,8.694,1.473,0.976,0
6/1/1968,0,0,0,0,0.332,8.413,1.375,1.002,0
7/1/1968,0,0,0,0,0.352,8.996,1.45,1.024,0
8/1/1968,0,0,0,0,0.335,8.994,1.465,1.015,0
9/1/1968,0,0,0,0,0.327,8.702,1.46,1.21,0
10/1/1968,0,0,0,0,0.338,8.96,1.584,1.081,0
11/1/1968,0,0,0,0,0.368,8.638,1.592,1.058,0
12/1/1968,0,0,0,0,0.366,8.642,1.571,1.07,0
1/1/1969,0,0,0,0,0.377,8.85,1.567,1.118,0
2/1/1969,0,0,0,0,0.386,8.869,1.632,0.872,0
3/1/1969,0,0,0,0,0.376,8.356,1.528,1.026,0
4/1/1969,0,0,0,0,0.382,8.5,1.543,1.134,0
5/1/1969,0,0,0,0,0.376,8.51,1.518,1.168,0
6/1/1969,0,0,0,0,0.388,8.489,1.488,1.086,0
7/1/1969,0,0,0,0,0.371,8.065,1.424,1.067,0
